U+3B15	㬕
U+3B17	㬗
U+3B23	㬣
U+3B24	㬤
U+3B25	㬥
U+3B27	㬧
U+3B29	㬩
U+3B2B	㬫
U+3B2C	㬬
U+3B2E	㬮
U+3B2F	㬯
U+3B30	㬰
U+3B34	㬴
U+3B3F	㬿
U+3B41	㭁
U+3B47	㭇
U+3B4B	㭋
U+3B4C	㭌
U+3B58	㭘
U+3B5C	㭜
U+3B6C	㭬
U+3B6F	㭯
U+3B70	㭰
U+3B79	㭹
U+3B7A	㭺
U+3B7C	㭼
U+3B81	㮁
U+3B86	㮆
U+3B8B	㮋
U+3B90	㮐
U+3B92	㮒
U+3B94	㮔
U+3B95	㮕
U+3B96	㮖
U+3B97	㮗
U+3B98	㮘
U+3B9F	㮟
U+3BA5	㮥
U+3BAB	㮫
U+3BAC	㮬
U+3BAD	㮭
U+3BB2	㮲
U+3BB3	㮳
U+3BBF	㮿
U+3BC0	㯀
U+3BCB	㯋
U+3BCD	㯍
U+3BD6	㯖
U+3BD9	㯙
U+3BDC	㯜
U+3BE0	㯠
U+3BE1	㯡
U+3BE4	㯤
U+3BE9	㯩
U+3BF1	㯱
U+3C01	㰁
U+3C06	㰆
U+3C07	㰇
U+3C11	㰑
U+3C14	㰔
U+3C18	㰘
U+3C19	㰙
U+3C1B	㰛
U+3C1D	㰝
U+3C1F	㰟
U+3C20	㰠
U+3C21	㰡
U+3C23	㰣
U+3C24	㰤
U+3C25	㰥
U+3C28	㰨
U+3C2A	㰪
U+3C2E	㰮
U+3C2F	㰯
U+3C30	㰰
U+3C31	㰱
U+3C32	㰲
U+3C34	㰴
U+3C36	㰶
U+3C39	㰹
U+3C3B	㰻
U+3C3C	㰼
U+3C3D	㰽
U+3C41	㱁
U+3C44	㱄
U+3C45	㱅
U+3C48	㱈
U+3C49	㱉
U+3C4A	㱊
U+3C4C	㱌
U+3C4E	㱎
U+3C4F	㱏
U+3C57	㱗
U+3C58	㱘
U+3C59	㱙
U+3C5A	㱚
U+3C5B	㱛
U+3C5E	㱞
U+3C64	㱤
U+3C6C	㱬
U+3C72	㱲
U+3C74	㱴
U+3C78	㱸
U+3C7A	㱺
U+3C7B	㱻
U+3C80	㲀
U+3C83	㲃
U+3C8A	㲊
U+3C8E	㲎
U+3C8F	㲏
U+3C93	㲓
U+3C95	㲕
U+3C99	㲙
U+3C9D	㲝
U+3C9F	㲟
U+3CA2	㲢
U+3CA3	㲣
U+3CA8	㲨
U+3CAD	㲭
U+3CAF	㲯
U+3CB6	㲶
U+3CB9	㲹
U+3CBA	㲺
U+3CBC	㲼
U+3CBD	㲽
U+3CBE	㲾
U+3CC2	㳂
U+3CC5	㳅
U+3CC6	㳆
U+3CCA	㳊
U+3CCB	㳋
U+3CCC	㳌
U+3CCF	㳏
U+3CD0	㳐
